NOTE: This timeline is rough. It was 95% accurate at the time of the 60th anniverary (November 2023). It has not been updated since then.,,
SHOW,FORMAT,TITLE
,BBC Audio Drama,The House of the Dead
,Big Finish,What Have I Done?
Doctor Who,BBC TV,Dreamland
Sarah Jane Adv.,BBC Audio,The White Wolf
,BBC TV,Prisoner of the Judoon - (Part 1 + 2)
,,The Mad Woman in the Attic - (Part 1 + 2)
,,The Wedding of Sarah Jane Smith (Part 1 + 2)
,,The Eternity Trap (Part 1 + 2)
,,Mona Lisa’s Revenge - (Part 1 + 2)
,,The Gift - (Part 1 + 2)
Doctor Who,,The Waters of Mars
,BBC Book,"The Knight, The Fool and The Dead"
,,All Flesh is Grass
,BBC Audio,The Minds of Magnox
,Big Finish,The Shattered Hourglass
,BBC Audio,The Last Voyage
,,Dead Air
,BBC Book,Code of the Krillitanes
,BBC Digital,Keeping up with the Joneses
,,The Bog Warrior
,BBC Book,Loose Wire
,Big Finish,Escape From New New York
,,Death in the New Forest
,,The Skies of New Earth
,,The Cats of New Cairo
,,Last Chance
,,Expiry Dating
,,Precious Annihilation
,,Ghosts
,,Out of Time 1
,,Free Speech
,,Slight Glimpses of Tomorrow
,,A Brave New World
,,Soul Music
,,The Gates of Hell
,,Wink
,,Queen of the Mechonoids
,,Buying Time
,,The Wrong Woman
,,The House of Kingdom
,,Cycle of Destruction
,,The Trojan Dalek
,,The Lost
,,The First Son
,,The Dalek Defense
,,The Triumph of Davros
,,The Last Line
,,Splinters
,,The Stuntman
,,Quantum Of Axos
,,"Table for Two, Dinner for One"
,,Echoes of Extinction
,,Mutually Assured Destruction
,BBC TV,The End of Time (Part 1 + 2)
,,To follow the timeline pause after the Doctor leaves a gift for Donna & her new husband
,Webcast,The Secret of Novice Hame
,Big Finish,One Enchanted Evening
,,It Takes a Thief
,,Skin Deep
,,Portrait of a Lady
,,Death on the Mile
,,The Wreck
,,Outback
,,Long Shot
,,Prism
,,The Jago & Lifefoot Revival Act 1 & 2
,,To follow the timeline return to the end of the episode ‘End of Time Part 2’
ELEVENTH DOCTOR (MATT SMITH),,
Doctor Who,BBC TV,The Eleventh Hour
,,"To follow the time line Pause when the Doctor leaves Child Amy,"
,BBC Webcast,The Raggedy Man
,BBC Book,The Girl Who Tore Through The Universe
,,To follow the timeline return to the episode ‘The Eleventh Hour’
,BBC DVD,Meanwhile in the Tardis Scene 1
,BBC TV,The Beast Below
,,Victory of the Daleks
,BBC Audio,The Runaway Train
,BBC Book,Apollo 23
,,Night of the Humans
,,The Forgotten Army
,Big Finish,The Calendar Man
,BBC TV,The Time of Angels (Part 1)
,,Flesh and Stone (Part 2)
,BBC DVD,Meanwhile in the Tardis Scene 2
,BBC Book,The Multi-Faceted War
,,The Coldest War
,,Claws of the Macra
,,Nothing O’Clock
,BBC TV,The Vampires of Venice
,,Amy’s Choice
,BBC Book,Nuclear Time
,,The King’s Dragon
,,The Glamour Chase
,BBC TV,The Hungry Earth
,,Cold Blood
Torchwood,BBC Book,First Born
,BBC Book,The Men Who Sold The World
Doctor Who,BBC Interactive Game,City of the Daleks
,,Blood of the Cyberman
,,TARDIS
,,Shadows of the Vasta Nerada
,BBC TV,Vincent and the Doctor
,,The Lodger
,BBC Audio,Ring of Steel
,BBC Book,The coming of the Terraphiles
,,Judoon Monsoon
,,Empire of the Wolf
,Video Game,Evacuation Earth
,,Return To Earth
,BBC Audio,The Jade Pyramid
,,The Hounds of Artemis
,,The Gemini Contagion
,BBC TV,The Pandora Open (Part 1)
,,The Big Bang (Part 2)
,,To follow the timeline pause at 15:50  and listen to the ‘Lone Centurion’ Volume 01 & 02 audios.
,Big Finish,Gladiator
,,The Unwilling Assassin
,,"I, Rorius"
,,The Once and Future Nurse
,,The Glowing Warrior
,,The Last King of Camelot
,,To follow the timeline resume the episode ‘The Big Bang’ at 15:50.
Sarah Jane Adv.,BBC Audio,Deadly Download
,,Wraith World
,BBC TV,The Nightmare Man (Part 1)
,,Sarah Jane Alien Files #1
,,The Nightmare Man (Part 2)
,,The Vault of Secrets - Part 1 + 2 (S4 E3 +4)
,,Alien Files #2
,,Death of the Doctor (Part 1 + 2)
,,Alien Files #3
,,The Empty Planet - (Part 1 + 2)
,,Alien Files #4
,,Lost in Time (Part 1 + 2)
,,Alien Files #5
,,"Goodbye, Sarah Jane Smith - Part 1 + 2"
,,Alien Files #6
Doctor Who,Big Finish,The Jago & Lifefoot Revival Act 1 & 2
,,The Light Keepers
,,Inside The Maldovarium
,,Altered Status
,,Calamity Jenny
,,Her Own Worst Enemy
,Comic,After Life
,,The Friendly Place
,,What He Wants…
,,Whodunnit/ The Sound of Our Voices
,,Space in Dimension Relative and Time
,,The Eternal Dogfight / The Infinite Astronaut
